               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1161,            0.036159,            0.029402,                   0,                   0,                   0,                   0,              0.1329,            0.021751,            0.038403,              0.0892,              0.0012,              0.0012
                   1,            0.089364,            0.038994,            0.027541,                   0,                   0,                   0,                   0,             0.13548,            0.017084,            0.039172,            0.077451,           0.0024505,           0.0024505
                   2,             0.07726,            0.040077,            0.024792,                   0,                   0,                   0,                   0,             0.13307,            0.020168,            0.036725,             0.06565,           0.0036495,           0.0036495
                   3,            0.067164,            0.034694,            0.021453,                   0,                   0,                   0,                   0,             0.13197,            0.023869,            0.033936,            0.053797,           0.0047971,           0.0047971
                   4,            0.063743,            0.033264,            0.020663,                   0,                   0,                   0,                   0,             0.12668,            0.016573,            0.033429,            0.041893,           0.0058931,           0.0058931
                   5,            0.058847,            0.031956,            0.017618,                   0,                   0,                   0,                   0,             0.12811,            0.015707,             0.02951,            0.029938,           0.0069377,           0.0069377
                   6,            0.063568,            0.028558,            0.015495,                   0,                   0,                   0,                   0,             0.13183,            0.014986,            0.033759,            0.017931,           0.0079308,           0.0079308
                   7,            0.056531,            0.027135,            0.014809,                   0,                   0,                   0,                   0,             0.13142,             0.01725,            0.035138,            0.008614,            0.008614,            0.008614
                   8,            0.056835,            0.025258,            0.015138,                   0,                   0,                   0,                   0,             0.13378,            0.020123,            0.024567,            0.008614,            0.008614,            0.008614
                   9,             0.05541,            0.026906,            0.013159,                   0,                   0,                   0,                   0,             0.13247,            0.017204,            0.025146,            0.008416,            0.008416,            0.008416
                  10,            0.052669,            0.025083,            0.012525,                   0,                   0,                   0,                   0,             0.13248,            0.015694,            0.041974,            0.008218,            0.008218,            0.008218
                  11,            0.048422,            0.023154,            0.010364,                   0,                   0,                   0,                   0,             0.13177,            0.017916,            0.056653,             0.00802,             0.00802,             0.00802
                  12,             0.04969,            0.023161,            0.009842,                   0,                   0,                   0,                   0,             0.13268,             0.01737,            0.070251,            0.007822,            0.007822,            0.007822
                  13,            0.044671,            0.022549,           0.0090616,                   0,                   0,                   0,                   0,             0.13351,            0.016529,            0.092188,            0.007624,            0.007624,            0.007624
                  14,            0.043429,            0.022445,           0.0086532,                   0,                   0,                   0,                   0,             0.13347,            0.017164,             0.10054,            0.007426,            0.007426,            0.007426
                  15,            0.042133,            0.019711,            0.010863,                   0,                   0,                   0,                   0,             0.13314,            0.016829,             0.10239,            0.007228,            0.007228,            0.007228
                  16,            0.039746,            0.022015,           0.0089978,                   0,                   0,                   0,                   0,             0.13279,            0.016666,             0.10859,             0.00703,             0.00703,             0.00703
                  17,            0.039657,             0.02189,           0.0080321,                   0,                   0,                   0,                   0,             0.13206,            0.016823,             0.11001,            0.006832,            0.006832,            0.006832
                  18,            0.038539,            0.019298,           0.0074211,                   0,                   0,                   0,                   0,             0.13354,            0.015253,             0.10981,            0.006634,            0.006634,            0.006634
                  19,            0.036053,            0.019516,           0.0062731,                   0,                   0,                   0,                   0,             0.13363,            0.014235,             0.10615,            0.006436,            0.006436,            0.006436
                  20,            0.035479,             0.01845,           0.0068751,                   0,                   0,                   0,                   0,             0.13305,            0.016651,             0.10901,            0.006238,            0.006238,            0.006238
                  21,            0.034087,            0.018402,           0.0073644,                   0,                   0,                   0,                   0,             0.13277,            0.017792,             0.11189,             0.00604,             0.00604,             0.00604
                  22,            0.033744,            0.018199,            0.007898,                   0,                   0,                   0,                   0,             0.13312,            0.018076,             0.10964,            0.005842,            0.005842,            0.005842
                  23,            0.032434,            0.019472,           0.0064626,                   0,                   0,                   0,                   0,             0.13379,            0.017853,              0.1134,            0.005644,            0.005644,            0.005644
                  24,            0.032198,            0.017696,           0.0063956,                   0,                   0,                   0,                   0,             0.13346,            0.019455,             0.11836,            0.005446,            0.005446,            0.005446
                  25,            0.031869,            0.016159,           0.0059585,                   0,                   0,                   0,                   0,             0.13376,            0.019249,             0.11567,            0.005248,            0.005248,            0.005248
                  26,            0.030463,            0.016771,           0.0063866,                   0,                   0,                   0,                   0,             0.13321,            0.018761,             0.12056,             0.00505,             0.00505,             0.00505
                  27,            0.029227,            0.016566,           0.0062265,                   0,                   0,                   0,                   0,             0.13356,            0.019852,             0.12454,            0.004852,            0.004852,            0.004852
                  28,            0.028324,            0.017183,           0.0058395,                   0,                   0,                   0,                   0,             0.13399,            0.017765,             0.13083,            0.004654,            0.004654,            0.004654
                  29,            0.028373,            0.016832,           0.0059062,                   0,                   0,                   0,                   0,             0.13477,            0.016317,             0.12905,            0.004456,            0.004456,            0.004456
                  30,             0.02694,            0.015943,            0.005645,                   0,                   0,                   0,                   0,             0.13437,            0.017178,             0.11775,            0.004258,            0.004258,            0.004258
                  31,             0.02627,            0.016535,           0.0051077,                   0,                   0,                   0,                   0,             0.13443,            0.017986,             0.12036,             0.00406,             0.00406,             0.00406
                  32,            0.027197,            0.016236,           0.0057362,                   0,                   0,                   0,                   0,              0.1345,            0.018017,             0.12439,            0.003862,            0.003862,            0.003862
                  33,            0.025352,            0.014833,           0.0056187,                   0,                   0,                   0,                   0,             0.13449,             0.01757,             0.12224,            0.003664,            0.003664,            0.003664
                  34,            0.025164,            0.015722,            0.005063,                   0,                   0,                   0,                   0,             0.13458,            0.018053,             0.12395,            0.003466,            0.003466,            0.003466
                  35,             0.02331,            0.014814,           0.0045871,                   0,                   0,                   0,                   0,               0.134,            0.019413,             0.11501,            0.003268,            0.003268,            0.003268
                  36,            0.024705,            0.016154,           0.0049742,                   0,                   0,                   0,                   0,             0.13388,            0.019394,              0.1145,             0.00307,             0.00307,             0.00307
                  37,            0.023882,            0.014681,            0.004901,                   0,                   0,                   0,                   0,             0.13376,            0.018982,             0.11843,            0.002872,            0.002872,            0.002872
                  38,             0.02297,            0.014109,            0.004528,                   0,                   0,                   0,                   0,              0.1341,             0.01923,             0.12495,            0.002674,            0.002674,            0.002674
                  39,            0.022044,            0.014697,            0.004596,                   0,                   0,                   0,                   0,             0.13412,            0.020439,             0.12737,            0.002476,            0.002476,            0.002476
                  40,            0.023037,             0.01375,            0.004911,                   0,                   0,                   0,                   0,             0.13396,            0.020687,             0.12151,            0.002278,            0.002278,            0.002278
                  41,            0.021232,            0.014826,            0.003376,                   0,                   0,                   0,                   0,             0.13372,            0.020618,              0.1176,             0.00208,             0.00208,             0.00208
                  42,            0.022176,            0.015556,           0.0049312,                   0,                   0,                   0,                   0,             0.13386,            0.020592,             0.10166,            0.001882,            0.001882,            0.001882
                  43,            0.021514,            0.015747,           0.0040589,                   0,                   0,                   0,                   0,             0.13375,            0.020306,            0.097412,            0.001684,            0.001684,            0.001684
                  44,            0.020645,            0.015749,           0.0041273,                   0,                   0,                   0,                   0,             0.13372,            0.020302,             0.09834,            0.001486,            0.001486,            0.001486
                  45,            0.019367,             0.01372,           0.0043258,                   0,                   0,                   0,                   0,             0.13372,            0.020241,             0.10474,            0.001288,            0.001288,            0.001288
                  46,            0.019363,            0.013609,           0.0037339,                   0,                   0,                   0,                   0,              0.1338,            0.020466,             0.10481,             0.00109,             0.00109,             0.00109
                  47,            0.019294,            0.014875,           0.0043487,                   0,                   0,                   0,                   0,             0.13373,             0.02092,             0.10935,            0.000892,            0.000892,            0.000892
                  48,            0.019734,            0.013992,           0.0048541,                   0,                   0,                   0,                   0,             0.13384,            0.021118,             0.11421,            0.000694,            0.000694,            0.000694
                  49,            0.018576,            0.013964,           0.0046905,                   0,                   0,                   0,                   0,             0.13379,            0.021427,             0.11865,            0.000496,            0.000496,            0.000496
